id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_street,pickup_suburb,distance,distance_miles,pickup_city
id1230554,1,2016-03-12 19:13:40,2016-03-12 19:33:07,1,-74.00302124023438,40.73118209838867,-73.989013671875,40.71902084350586,Y,1167,Bleecker Street,Manhattan,1.7949906150270245,1.1128941813167552,New York
id3608580,1,2016-03-14 10:19:47,2016-03-14 10:35:40,1,-73.98856353759764,40.74526977539063,-73.97714233398438,40.76401519775391,N,953,West 28th Street,Midtown West,2.2956938645290044,1.4233301960079827,New York
id0089807,2,2016-06-17 00:54:50,2016-06-17 01:11:34,1,-73.95790100097656,40.71453857421875,-73.9757308959961,40.666061401367195,N,1004,Metropolitan Avenue,Brooklyn,5.596117958163155,3.4695931340611557,New York
id0742428,1,2016-06-05 16:07:32,2016-06-05 16:25:59,3,-73.99146270751953,40.74928665161133,-73.99205017089844,40.73117065429688,N,1107,7th Avenue,Manhattan,2.0150171973059354,1.24931066232968,New York
id0874642,2,2016-06-10 01:45:44,2016-06-10 02:14:52,1,-73.97586822509764,40.74649810791016,-73.69999694824217,40.795989990234375,N,1748,East 36th Street,Manhattan,23.874198484743694,14.80200306054109,New York
id2388884,1,2016-05-09 12:04:48,2016-05-09 12:12:38,1,-73.9768295288086,40.785301208496094,-73.96292877197266,40.80934524536133,N,470,Amsterdam Avenue,Manhattan,2.9184285666308183,1.8094257113111074,New York
id0082086,1,2016-04-29 11:55:30,2016-04-29 12:16:38,1,-73.98236846923827,40.77215576171875,-73.98416137695312,40.74674987792969,N,1268,West 64th Street,Manhattan,2.8290417093065483,1.7540058597700598,New York
id0665477,1,2016-01-03 15:00:21,2016-01-03 15:23:14,1,-74.00294494628906,40.73340606689453,-73.97977447509764,40.785640716552734,N,1373,7th Avenue South,West Village,6.127324553382646,3.7989412230972404,New York
id1425762,2,2016-04-12 20:36:27,2016-04-12 20:48:09,2,-74.00109100341797,40.72909164428711,-73.98487854003906,40.74813079833984,N,702,Bleecker Street,Manhattan,2.519466024778971,1.562068935362962,New York
id0579956,1,2016-04-12 13:37:20,2016-04-12 14:00:57,2,-73.96590423583984,40.790351867675774,-73.9785614013672,40.7563362121582,N,1417,Central Park West,Manhattan,3.929674653329298,2.436398285064165,New York
id2479944,1,2016-06-13 16:40:01,2016-06-13 17:06:59,1,-73.98271179199219,40.75816345214844,-73.9875717163086,40.7605857849121,N,1618,West 47th Street,Manhattan,0.4900012976157306,0.30380080452175295,New York
id0951848,2,2016-06-24 22:41:30,2016-06-24 22:53:06,1,-73.9834442138672,40.75542831420898,-73.97527313232422,40.7519416809082,N,696,6th Avenue,Midtown West,0.7899546886409071,0.4897719069573624,New York
id0289113,1,2016-02-18 20:14:36,2016-02-18 20:23:21,1,-73.96568298339844,40.759613037109375,-73.98238372802734,40.748634338378906,N,525,East 57th Street,Manhattan,1.8625835941335227,1.154801828362784,New York
id2813215,1,2016-03-06 13:54:57,2016-03-06 14:16:58,1,-73.99561309814453,40.7446403503418,-73.98929595947266,40.718406677246094,N,1321,7th Avenue,Manhattan,2.9652213968587593,1.8384372660524309,New York
id0822876,2,2016-01-16 23:36:59,2016-01-16 23:50:06,1,-73.87442779541014,40.774028778076165,-73.9566879272461,40.74605178833008,N,787,Flushing Bay Promenade,Queens,7.594708678980104,4.708719380967665,New York
id3536373,1,2016-02-14 17:26:54,2016-02-14 17:47:41,1,-74.00845336914062,40.74638366699219,-73.96708679199217,40.76372909545898,N,1247,Hudson River Park Esplanade,Manhattan,3.9825476270231577,2.4691795287543576,New York
id3597488,2,2016-04-03 01:45:18,2016-04-03 02:08:46,1,-73.9918212890625,40.7152099609375,-73.97628021240233,40.77972030639648,N,1408,Orchard Street,Manhattan,7.29172315578948,4.520868356589478,New York
id2759252,2,2016-02-27 09:36:49,2016-02-27 09:43:19,2,-73.9724884033203,40.79330825805664,-73.95941162109375,40.80934143066406,N,390,Broadway,Upper West Side,2.0952231065410105,1.2990383260554266,New York
id2337460,2,2016-05-24 09:17:11,2016-05-24 09:26:56,2,-73.97764587402342,40.76351165771485,-73.98046875,40.75618743896485,N,585,West 57th Street,Manhattan,0.8484121182814434,0.5260155133344949,New York
id1159360,2,2016-01-25 15:46:47,2016-01-25 16:00:01,1,-74.00163269042967,40.71578979492188,-74.0160903930664,40.709999084472656,N,794,Centre Street,Manhattan,1.3782209346150576,0.8544969794613357,New York
id3102608,1,2016-05-14 19:49:33,2016-05-14 20:08:27,2,-73.99570465087889,40.730594635009766,-73.9846420288086,40.72031021118164,N,1134,West 9th Street,Manhattan,1.4754062719464383,0.9147518886067917,New York
id3700578,2,2016-02-20 16:08:43,2016-02-20 16:13:39,1,-73.97798919677734,40.75276947021485,-73.98879241943358,40.757118225097656,N,296,East 42nd Street,Manhattan,1.0304722630863064,0.6388928031135099,New York
id1649179,2,2016-02-17 02:09:06,2016-02-17 02:12:45,1,-73.98165130615233,40.74660873413086,-73.96929168701173,40.75537872314453,N,219,Park Avenue,Midtown East,1.4265067361610653,0.8844341764198604,New York
id3656770,2,2016-06-30 10:34:15,2016-06-30 10:49:09,1,-73.96200561523438,40.755725860595696,-73.95844268798828,40.78142929077149,N,894,Sutton Place South,Manhattan,2.873800905855885,1.7817565616306488,New York
id3675618,2,2016-02-28 18:47:50,2016-02-28 18:57:09,1,-73.9912567138672,40.72389602661133,-73.99893951416014,40.73429870605469,N,559,2nd Avenue,East Village,1.3255644262273587,0.8218499442609624,New York
id0805555,2,2016-04-25 18:50:37,2016-04-25 19:00:51,4,-73.98384094238281,40.7464599609375,-74.00221252441406,40.734493255615234,N,614,Madison Avenue,Midtown East,2.041145566243939,1.2655102510712422,New York
id3854266,2,2016-02-25 21:18:52,2016-02-25 21:35:15,2,-73.98277282714845,40.72296524047852,-73.95171356201173,40.76960754394531,N,983,Avenue B,Manhattan,5.809023019335571,3.6015942719880543,New York
id2950940,2,2016-06-16 11:42:14,2016-06-16 12:05:04,1,-74.0155029296875,40.711273193359375,-73.97079467773438,40.75584411621094,N,1370,Liberty Street,Manhattan,6.225205979679021,3.859627707400993,New York
id3893146,1,2016-03-20 20:20:32,2016-03-20 20:50:28,1,-74.00206756591797,40.740264892578125,-74.01789093017578,40.709522247314446,N,1796,West 16th Street,Manhattan,3.6692890105272604,2.2749591865269014,New York
id3362627,2,2016-06-09 21:26:26,2016-06-09 21:30:07,2,-74.01387786865233,40.7133903503418,-74.00618743896483,40.71686172485352,N,221,West Street,Manhattan,0.7543936439769737,0.4677240592657237,New York
id0578870,1,2016-04-14 16:24:43,2016-04-14 16:31:14,1,-73.9685287475586,40.760963439941406,-73.961669921875,40.75875473022461,N,391,East 57th Street,Manhattan,0.6277241127546189,0.38918894990786373,New York
id1203105,1,2016-03-14 23:20:23,2016-03-14 23:26:11,1,-73.96949768066406,40.75766754150391,-73.94623565673827,40.77730941772461,N,348,East 53rd Street,Manhattan,2.9339320745024042,1.8190378861914906,New York
id1008684,1,2016-01-04 07:23:49,2016-01-04 07:32:29,1,-73.99427032470702,40.75098419189453,-73.97462463378906,40.75081253051758,N,520,Pennsylvania Plaza,Manhattan,1.6549911701882294,1.0260945255167022,New York
id3996332,2,2016-01-27 00:14:52,2016-01-27 00:36:14,1,-73.97469329833984,40.75508880615234,-74.00581359863281,40.7086181640625,N,1282,Park Avenue,Manhattan,5.794569385201082,3.592633018824671,New York
id0955277,2,2016-03-05 11:44:13,2016-03-05 11:56:06,1,-73.95011901855469,40.771766662597656,-73.97205352783203,40.76082611083984,N,713,York Avenue,Upper East Side,2.21185630495699,1.3713509090733338,New York
id3292037,1,2016-02-18 22:31:03,2016-02-18 22:35:56,2,-73.95603942871092,40.78485870361328,-73.96976470947266,40.768821716308594,N,293,Madison Avenue,Manhattan,2.1249946257204395,1.3174966679466724,New York
id0541523,1,2016-02-17 17:30:15,2016-02-17 17:40:34,1,-73.98919677734375,40.74100875854492,-73.9939956665039,40.72303009033203,N,619,Broadway,Flatiron District,2.0396225095373413,1.2645659559131515,New York
id1155968,2,2016-06-26 10:46:11,2016-06-26 10:57:53,2,-73.9911880493164,40.730010986328125,-73.97322845458984,40.752826690673835,N,702,Lafayette Street,East Village,2.953930403518585,1.8314368501815226,New York
id2909600,2,2016-03-26 17:14:35,2016-03-26 17:28:07,1,-73.97972869873048,40.765640258789055,-73.95899963378906,40.78346633911133,N,812,7th Avenue,Manhattan,2.64118208253609,1.6375328911723759,New York
id2474032,1,2016-01-27 20:07:52,2016-01-27 20:21:39,1,-73.9537811279297,40.767120361328125,-73.9648208618164,40.79264068603516,N,827,East 72nd Street,Upper East Side,2.986097842086944,1.8513806620939053,New York
id0953783,1,2016-04-01 02:08:29,2016-04-01 02:16:13,1,-73.98601531982422,40.75265884399414,-74.00045776367188,40.729995727539055,N,464,6th Avenue,Manhattan,2.798396439415352,1.7350057924375182,New York
id3776808,1,2016-05-20 03:43:01,2016-05-20 03:48:55,1,-73.95823669433594,40.784400939941406,-73.98329162597656,40.7623176574707,N,354,5th Avenue,Manhattan,3.2374505001171157,2.0072193100726117,New York
id2331909,2,2016-01-30 14:16:47,2016-01-30 14:31:41,1,-73.99700927734375,40.72898864746094,-73.9769515991211,40.72901153564453,N,894,West 9th Street,Manhattan,1.690143621371883,1.0478890452505674,New York
id1599128,2,2016-06-02 07:20:00,2016-06-02 07:32:49,1,-73.93328094482422,40.79521179199219,-73.96549224853516,40.79563903808594,N,769,East 116th Street,Manhattan,2.7119606296085914,1.6814155903573267,New York
id0924831,1,2016-03-29 18:35:44,2016-03-29 19:02:09,1,-73.9534454345703,40.776042938232415,-73.98876953125,40.76021194458008,N,1585,East 83rd Street,Manhattan,3.4566166576101276,2.143102327718279,New York
id1106419,2,2016-05-31 10:49:14,2016-05-31 11:38:54,1,-73.78194427490233,40.64469146728516,-73.96700286865233,40.7985954284668,N,2980,JFK Access Road,Queens,23.15354367257992,14.355197076999552,New York
id0705355,2,2016-05-07 21:55:11,2016-05-07 21:55:37,1,-73.98879241943358,40.73111343383789,-73.98885345458984,40.73099136352539,N,26,3rd Avenue,Manhattan,0.014515252838514613,0.00899945675987906,New York
id0996733,1,2016-03-12 05:08:40,2016-03-12 05:24:35,1,-74.00537109375,40.739891052246094,-73.97808837890625,40.77720642089844,N,955,Hudson Street,West Village,4.743105485647863,2.940725401101675,New York
id2887457,2,2016-01-28 20:46:52,2016-01-28 20:55:48,1,-74.0077133178711,40.70663070678711,-73.99207305908203,40.7256088256836,N,536,Pine Street,Manhattan,2.4881350418398602,1.5426437259407133,New York
id2755380,1,2016-01-15 20:16:03,2016-01-15 20:30:44,1,-73.98298645019531,40.726726531982415,-73.98067474365233,40.7423210144043,Y,881,Saint Mark's Place,East Village,1.7449343499520142,1.0818592969702487,New York
id2394980,2,2016-06-07 19:21:39,2016-06-07 19:41:51,1,-73.95413970947266,40.741565704345696,-73.95413970947266,40.741565704345696,N,1212,Vernon Boulevard,Long Island City,0.0,0.0,New York
id1850083,2,2016-05-11 14:16:32,2016-05-11 14:35:15,1,-73.98148345947266,40.752811431884766,-74.00660705566406,40.7415885925293,N,1123,41st Street,Midtown West,2.456953885293406,1.5233114088819117,New York
id0498666,2,2016-06-18 08:18:26,2016-06-18 08:35:35,1,-73.98474884033203,40.75893020629882,-74.01329040527344,40.71302032470703,N,1029,Broadway,Midtown West,5.643002777927976,3.498661722315345,New York
id1259494,1,2016-01-01 04:15:37,2016-01-01 04:28:14,1,-73.92048645019531,40.7596549987793,-73.8894271850586,40.76758193969727,N,757,Broadway,Queens,2.760332492297642,1.7114061452245382,New York
id3968230,2,2016-04-16 00:10:25,2016-04-16 00:23:17,3,-73.9832992553711,40.762401580810554,-73.98690795898438,40.74039077758789,N,772,West 51st Street,Manhattan,2.466297622737661,1.5291045260973497,New York
id2259394,2,2016-04-03 13:26:41,2016-04-03 13:33:36,1,-73.96175384521484,40.77669143676758,-73.93904113769531,40.804718017578125,N,415,Madison Avenue,Manhattan,3.656246936965484,2.2668731009186,New York
id0432571,1,2016-04-29 22:46:59,2016-04-29 23:13:25,1,-73.99114227294923,40.73746109008789,-73.9749984741211,40.78281021118164,N,1586,East 17th Street,Manhattan,5.222699715189441,3.2380738234174538,New York
id1019079,2,2016-04-05 14:54:11,2016-04-05 15:04:52,1,-73.9699478149414,40.76033782958984,-73.98977661132812,40.73927688598633,N,641,East 56th Street,Midtown East,2.8765220019746724,1.7834436412242969,New York
id2823259,1,2016-04-30 20:07:53,2016-04-30 20:16:02,1,-73.98746490478516,40.750591278076165,-73.98928833007811,40.75807189941406,N,489,Broadway,Manhattan,0.8458692541750177,0.524438937588511,New York
id3164227,2,2016-04-01 20:44:36,2016-04-01 21:02:04,1,-73.9783935546875,40.74824905395508,-73.9329376220703,40.765789031982415,N,1048,East 37th Street,Murray Hill,4.29683107666113,2.6640352675299006,New York
id2716416,1,2016-06-07 14:05:27,2016-06-07 14:11:45,1,-73.99837493896483,40.719993591308594,-73.99674224853516,40.72564315795898,N,378,Centre Street,SoHo,0.643094919015343,0.39871884978951266,New York
id3753269,2,2016-04-15 06:05:52,2016-04-15 06:16:09,1,-73.97962951660156,40.73286056518555,-73.96790313720702,40.7629508972168,N,617,First Avenue Loop,Manhattan,3.4886719153493546,2.1629765875166,New York
id2187882,1,2016-02-26 18:48:43,2016-02-26 18:57:11,1,-73.99217987060547,40.748241424560554,-73.97811889648438,40.75115203857422,N,508,West 30th Street,Manhattan,1.2278873305185696,0.7612901449215131,New York
id0398188,1,2016-05-21 21:32:58,2016-05-21 21:50:40,1,-73.96244049072266,40.778587341308594,-73.9835205078125,40.738384246826165,N,1062,5th Avenue,Manhattan,4.810067200158113,2.98224166409803,New York
id0762407,2,2016-03-23 16:27:08,2016-03-23 16:29:30,1,-73.99359130859375,40.747650146484375,-73.99054718017578,40.74045944213867,N,142,West 28th Street,Chelsea,0.8396912067550878,0.5206085481881544,New York
id3412994,2,2016-06-22 10:11:22,2016-06-22 10:27:14,2,-73.98216247558594,40.7318115234375,-73.97821807861328,40.75157928466797,N,952,1st Avenue,Gramercy,2.223054619954001,1.3782938643714806,New York
id1433474,1,2016-03-23 20:50:15,2016-03-23 20:54:11,1,-73.97374725341797,40.78296661376953,-73.97798156738281,40.77357482910156,N,236,West 81st Street,Manhattan,1.103504561505217,0.6841728281332345,New York
id2355952,2,2016-04-01 10:37:41,2016-04-01 10:51:49,1,-73.99462127685547,40.75055313110352,-73.97956848144531,40.76444625854492,N,848,Pennsylvania Plaza,Manhattan,1.9985088840596543,1.2390755081169857,New York
id0797603,2,2016-06-04 17:46:48,2016-06-04 17:52:25,1,-73.9824676513672,40.77458953857422,-73.9705581665039,40.79384994506836,N,337,Broadway,Upper West Side,2.3647706056779176,1.466157775520309,New York
id0419286,1,2016-02-17 17:47:37,2016-02-17 18:21:57,1,-73.86365509033203,40.769779205322266,-74.01474761962889,40.70955657958984,N,2060,Queens County,Queens County,14.38353112230543,8.917789295829365,New York
id1716965,2,2016-03-19 00:50:07,2016-03-19 01:13:31,1,-73.9825439453125,40.7619514465332,-73.90743255615233,40.75715637207031,N,1404,7th Avenue,Manhattan,6.348713805608454,3.936202559477241,New York
id2692435,1,2016-03-31 18:59:05,2016-03-31 19:03:35,1,-73.99478912353516,40.7457160949707,-73.99410247802734,40.73417663574219,N,270,7th Avenue,Manhattan,1.2844341927403546,0.7963491994990198,New York
id1214065,2,2016-06-12 16:32:08,2016-06-12 16:37:14,2,-73.97382354736328,40.755950927734375,-73.9618911743164,40.768211364746094,N,306,East 48th Street,Manhattan,1.6936800536909475,1.0500816332883876,New York
id3475936,2,2016-01-03 17:30:18,2016-01-03 18:18:15,6,-73.97711944580078,40.76438903808594,-73.78436279296875,40.64337158203125,N,2877,West 57th Street,Manhattan,21.097270339190384,13.080307610298037,New York
id3122086,1,2016-01-07 21:00:43,2016-01-07 21:07:13,1,-73.9541473388672,40.77969741821289,-73.96360015869139,40.7657470703125,N,390,East 87th Street,Manhattan,1.7435259051126422,1.080986061169838,New York
id1462222,2,2016-05-21 08:56:09,2016-05-21 09:17:54,1,-73.99075317382812,40.75584030151367,-73.9983901977539,40.712940216064446,N,1305,Broadway,Manhattan,4.813481525902478,2.9843585460595365,New York
id1678215,2,2016-05-01 20:26:21,2016-05-01 20:39:42,1,-73.95275115966798,40.77640151977539,-73.98580169677734,40.72216033935546,N,801,East 84th Street,Manhattan,6.642931419089867,4.118617479835717,New York
id2290358,2,2016-03-29 17:39:12,2016-03-29 17:51:01,1,-73.9691390991211,40.785541534423835,-73.95394897460938,40.766498565673835,N,709,Central Park West,Upper West Side,2.4738180652748243,1.533767200470391,New York
id1195500,1,2016-03-16 06:43:13,2016-03-16 06:49:29,1,-73.98360443115233,40.73815155029297,-73.97237396240233,40.75891876220703,N,376,3rd Avenue,Gramercy,2.495488264829017,1.5472027241939905,New York
id1274234,1,2016-02-17 19:02:27,2016-02-17 19:07:24,1,-73.98919677734375,40.77366256713867,-73.98284912109375,40.76790618896485,N,297,West End Avenue,Manhattan,0.8339304643931247,0.5170368879237373,New York
id0351735,1,2016-05-20 23:35:07,2016-05-20 23:36:47,1,-73.98768615722656,40.77041244506836,-73.99259185791014,40.76818084716797,N,100,West End Avenue,Manhattan,0.48191921983759367,0.29878991629930807,New York
id1514035,2,2016-06-21 23:46:01,2016-06-21 23:49:35,2,-74.0027084350586,40.73389434814453,-74.00079345703125,40.74200820922852,N,214,7th Avenue South,Manhattan,0.9165339002346686,0.5682510181454945,New York
id0565369,2,2016-04-20 14:43:25,2016-04-20 15:18:27,1,-73.970703125,40.764678955078125,-73.99871826171875,40.75450897216797,N,2102,Madison Avenue,Manhattan,2.6165744753459053,1.6222761747144612,New York
id0124017,1,2016-02-20 20:48:48,2016-02-20 21:17:32,1,-73.78180694580078,40.64264297485352,-73.97403717041014,40.74715423583984,N,1724,JFK Access Road,Queens,19.94236316657028,12.364265163273574,New York
id0476499,2,2016-04-22 15:41:10,2016-04-22 15:46:42,1,-73.98750305175781,40.72468948364258,-73.9898910522461,40.7335090637207,N,332,East 3rd Street,East Village,1.001124617657215,0.6206972629474733,New York
id1955328,2,2016-03-05 16:04:52,2016-03-05 16:33:36,1,-73.99414825439453,40.75102996826172,-74.0002670288086,40.71994400024414,N,1724,Pennsylvania Plaza,Manhattan,3.494840198789378,2.166800923249414,New York
id1224383,1,2016-06-04 09:36:25,2016-06-04 09:51:25,1,-73.97430419921875,40.7417221069336,-74.00535583496092,40.72730255126953,N,900,East River Esplanade,Manhattan,3.068545455595882,1.902498182469447,New York
id2959900,1,2016-04-21 18:38:24,2016-04-21 18:58:38,1,-74.0023422241211,40.74003601074219,-73.98896026611328,40.75208282470703,N,1214,West 16th Street,Manhattan,1.750786924493111,1.0854878931857288,New York
id3073317,2,2016-04-23 12:43:21,2016-04-23 12:53:47,1,-73.98979949951173,40.76722717285156,-74.00245666503906,40.745113372802734,N,626,10th Avenue,Manhattan,2.680111763590238,1.6616692934259474,New York
id2884543,2,2016-06-25 23:17:11,2016-06-25 23:29:20,1,-73.9586639404297,40.716991424560554,-73.94308471679686,40.70585250854492,N,729,Bedford Avenue,Brooklyn,1.8050993116979914,1.1191615732527547,New York
id0785678,2,2016-02-10 17:56:28,2016-02-10 18:04:33,1,-73.97441864013672,40.78342819213867,-73.9609832763672,40.77922058105469,N,485,Columbus Avenue,Upper West Side,1.2241628071283257,0.7589809404195619,New York
id3186974,2,2016-03-17 18:25:07,2016-03-17 18:38:33,1,-73.98027038574217,40.7842903137207,-73.95144653320312,40.77010726928711,N,806,West 79th Street,Manhattan,2.8944415561905914,1.7945537648381666,New York
id0913693,2,2016-05-24 09:18:15,2016-05-24 09:28:02,1,-73.97737884521484,40.754859924316406,-73.98883819580078,40.74496841430664,N,587,East 45th Street,Manhattan,1.4634107225942952,0.907314648008463,New York
id3549666,1,2016-03-22 03:31:21,2016-03-22 03:53:08,1,-74.00676727294923,40.74430084228516,-73.99488067626953,40.66501235961913,N,1307,10th Avenue,Manhattan,8.873240916496218,5.501409368227655,New York
id1064630,2,2016-06-16 20:23:49,2016-06-16 20:31:14,1,-73.95171356201173,40.76622009277344,-73.9693603515625,40.75376892089844,N,445,East 72nd Street,Manhattan,2.031242191511641,1.2593701587372175,New York
id0360600,1,2016-06-04 02:47:45,2016-06-04 02:52:22,1,-73.97978973388672,40.75494766235352,-73.9929428100586,40.74129486083984,N,277,5th Avenue,Manhattan,1.8794663544515926,1.1652691397599875,New York
id0763621,2,2016-01-17 01:46:40,2016-01-17 01:58:44,2,-74.00086212158203,40.73622894287109,-73.97994995117188,40.745960235595696,N,724,Greenwich Avenue,West Village,2.0675841211642796,1.2819021551218532,New York
id0026937,2,2016-04-04 17:01:42,2016-04-04 17:05:08,1,-73.95459747314453,40.7783088684082,-73.94857025146483,40.78485107421875,N,206,East 85th Street,Upper East Side,0.8869791613360221,0.5499270800283337,New York
id0941827,2,2016-03-15 04:23:11,2016-03-15 04:44:30,1,-73.98841094970702,40.76171875,-73.87077331542967,40.77404022216797,N,1279,West 48th Street,Manhattan,10.00112264643729,6.20069604079112,New York
id1014196,1,2016-05-10 11:33:46,2016-05-10 11:44:31,1,-73.9491195678711,40.773262023925774,-73.95244598388672,40.7894401550293,N,645,York Avenue,Upper East Side,1.8206002833804082,1.128772175695853,New York
id2031888,2,2016-05-09 13:05:55,2016-05-09 13:09:00,1,-73.98198699951173,40.77532958984375,-73.98291015625,40.78208160400391,N,185,Broadway,Upper West Side,0.7548036518078123,0.4679782641208436,New York
id0358993,1,2016-03-19 11:48:51,2016-03-19 11:57:10,1,-73.99665069580078,40.742671966552734,-74.00019836425781,40.72673797607422,N,499,7th Avenue,Manhattan,1.7968188427080038,1.1140276824789623,New York
id0878229,1,2016-04-26 19:58:50,2016-04-26 20:08:23,1,-73.98210906982422,40.77312469482422,-73.97470855712889,40.783203125,N,573,Columbus Avenue,Manhattan,1.282265082190323,0.7950043509580003,New York
id0359896,1,2016-02-22 10:17:52,2016-02-22 10:39:11,1,-73.98020935058595,40.77063751220703,-73.97562408447266,40.75052261352539,N,1279,West 63rd Street,Manhattan,2.2697725579733126,1.4072589859434539,New York
id1171295,1,2016-05-06 06:17:15,2016-05-06 06:29:33,2,-74.01436614990233,40.7181396484375,-73.98375701904298,40.75502395629882,N,738,Chambers Street,Manhattan,4.844802054715907,3.003777273923862,New York
id3161107,1,2016-04-17 13:20:49,2016-04-17 13:31:40,2,-73.97820281982422,40.753765106201165,-73.95774078369139,40.76984024047852,N,651,Madison Avenue,Manhattan,2.4829524398642566,1.5394305127158392,New York
id1195927,2,2016-03-29 20:48:49,2016-03-29 20:59:32,2,-73.9774169921875,40.76463317871094,-73.98770904541014,40.74396133422852,N,643,West 57th Street,Manhattan,2.4566531246699026,1.5231249372953397,New York
id3026385,2,2016-01-06 15:01:17,2016-01-06 15:07:49,1,-73.96668243408203,40.77021026611328,-73.96234130859375,40.77825927734375,N,392,Madison Avenue,Manhattan,0.9667841912773079,0.5994061985919309,New York
id0662787,1,2016-05-23 16:09:25,2016-05-23 16:18:10,1,-73.98062133789062,40.733985900878906,-73.98544311523438,40.746341705322266,N,525,1st Avenue,Manhattan,1.432703559798463,0.8882762070750471,New York
id0779967,2,2016-02-10 20:11:13,2016-02-10 20:50:16,3,-73.80174255371094,40.64699172973633,-74.00804138183594,40.74087905883789,N,2343,Van Wyck Expressway,Queens County,20.285376383111863,12.576933357529356,New York
id1033049,2,2016-01-19 04:08:59,2016-01-19 04:16:54,6,-73.98856353759764,40.72029113769531,-73.94882202148438,40.692378997802734,N,475,Rivington Street,Manhattan,4.5667146328635,2.83136307237537,New York
id0036714,2,2016-02-03 22:34:12,2016-02-03 22:41:57,1,-73.94699096679686,40.77608871459961,-73.97925567626953,40.73469161987305,N,465,York Avenue,Manhattan,5.345538204286961,3.3142336866579156,New York
